arc_m,x_r_m,y_r_m,theta_r_deg,beta_deg,nose_x_m,nose_y_m,theta_a_deg,kappa_r_1pm,steer_delta_deg,gear
99.956,-698.363,-681.172,-19.104,4.598,-698.458,-681.139,-14.506,0.000000,0.000,-1
100.956,-699.309,-680.845,-19.033,5.102,-699.403,-680.813,-13.931,0.000842,0.091,-1
101.956,-700.254,-680.520,-18.996,5.730,-700.349,-680.487,-13.266,0.000517,0.056,-1
102.956,-701.200,-680.195,-18.980,6.434,-701.295,-680.162,-12.546,0.000000,0.000,-1
103.956,-702.146,-679.870,-18.964,7.139,-702.240,-679.837,-11.826,0.000189,0.020,-1
104.956,-703.091,-679.545,-18.956,8.016,-703.186,-679.512,-10.940,0.000116,0.013,-1
105.956,-704.037,-679.220,-18.953,8.999,-704.132,-679.188,-9.954,0.000000,0.000,-1
106.956,-704.983,-678.895,-18.949,9.983,-705.078,-678.863,-8.967,0.000041,0.004,-1
107.956,-705.929,-678.571,-18.947,11.205,-706.023,-678.538,-7.742,0.000025,0.003,-1
108.956,-706.875,-678.246,-18.946,12.575,-706.969,-678.213,-6.371,0.000000,0.000,-1
109.956,-707.821,-677.921,-18.945,13.944,-707.915,-677.889,-5.001,-0.000000,-0.000,-1
110.336,-708.180,-677.798,-18.945,14.465,-708.275,-677.765,-4.480,0.000000,0.000,-1
