t_s,ref_x,ref_y,ref_theta,ref_hitch,kin_x,kin_y,kin_theta,kin_hitch,dyn_x,dyn_y,dyn_theta,dyn_hitch,dyn_delta,dyn_v_ms,mlg_kin_x,mlg_kin_y,mlg_dyn_x,mlg_dyn_y,gap_m,kin_err_m,dyn_err_m,hitch_gap_deg
63.5,-710.0861,-681.329,-0.5777,-0.1931,-709.9364,-681.1425,-0.5926,-0.1977,-710.2524,-681.186,-0.5956,-0.1971,0.0388,-1.8,-716.1981,-674.8474,-716.4986,-674.8755,0.319,0.2391,0.2194,0.036
64.0,-710.8244,-680.8077,-0.5937,-0.1936,-710.6735,-680.6361,-0.6115,-0.1986,-710.9927,-680.6742,-0.6145,-0.1982,0.04,-1.8,-716.8091,-674.218,-717.112,-674.2405,0.3215,0.2285,0.2148,0.025
64.5,-711.5627,-680.2863,-0.6098,-0.1941,-711.4005,-680.1156,-0.6311,-0.1989,-711.723,-680.1482,-0.634,-0.1987,0.0416,-1.8,-717.4074,-673.5768,-717.7125,-673.5935,0.3241,0.2354,0.2115,0.0099
65.0,-712.2841,-679.7449,-0.6272,-0.1929,-712.1169,-679.5806,-0.6517,-0.1982,-712.4427,-679.6078,-0.6543,-0.1984,0.0435,-1.8,-717.9927,-672.9238,-718.2999,-672.9347,0.3269,0.2344,0.2096,0.0107
65.5,-712.9874,-679.1822,-0.6462,-0.1898,-712.8218,-679.0308,-0.6732,-0.1964,-713.151,-679.0526,-0.6755,-0.197,0.0456,-1.8,-718.5651,-672.2593,-718.8742,-672.2641,0.3299,0.2243,0.2087,0.0368
66.0,-713.6906,-678.6194,-0.6652,-0.1866,-713.5143,-678.4656,-0.6959,-0.1931,-713.847,-678.4821,-0.6979,-0.1943,0.0481,-1.8,-719.1246,-671.5835,-719.4353,-671.582,0.3331,0.234,0.2082,0.0683
66.5,-714.3793,-678.042,-0.6857,-0.1816,-714.1934,-677.8845,-0.7198,-0.1882,-714.5298,-677.8957,-0.7215,-0.19,0.0508,-1.8,-719.6714,-670.8965,-719.9833,-670.8886,0.3366,0.2437,0.2099,0.105
67.0,-715.0434,-677.4398,-0.7089,-0.1734,-714.8578,-677.2868,-0.7451,-0.1813,-715.1981,-677.2929,-0.7465,-0.1839,0.0537,-1.8,-720.2058,-670.1986,-720.5186,-670.1841,0.3403,0.2406,0.2133,0.1462
67.5,-715.7076,-676.8376,-0.7321,-0.1652,-715.5065,-676.6721,-0.7718,-0.1722,-715.8507,-676.6732,-0.7728,-0.1756,0.0566,-1.8,-720.7282,-669.4902,-721.0416,-669.469,0.3442,0.2604,0.218,0.1899
68.0,-716.3604,-676.2257,-0.7567,-0.1554,-716.1382,-676.0399,-0.7998,-0.1608,-716.4864,-676.036,-0.8006,-0.1649,0.0595,-1.8,-721.2394,-668.7716,-721.5527,-668.7435,0.3482,0.2896,0.2276,0.2325
68.5,-716.9813,-675.5859,-0.7854,-0.1408,-716.7518,-675.3899,-0.8286,-0.1473,-717.1037,-675.3811,-0.8296,-0.1518,0.0619,-1.8,-721.7401,-668.0434,-722.0527,-668.0083,0.3519,0.3018,0.2386,0.2538
69.0,-717.6022,-674.9462,-0.8141,-0.1262,-717.3459,-674.7229,-0.8577,-0.1321,-717.7012,-674.7084,-0.8596,-0.1362,0.0636,-1.7994,-722.2308,-667.307,-722.5426,-667.2641,0.3556,0.3399,0.2576,0.232
69.5,-718.216,-674.3011,-0.8438,-0.1105,-717.9198,-674.0398,-0.8864,-0.1157,-718.2782,-674.0179,-0.89,-0.1184,0.0639,-1.8,-722.7123,-666.5637,-723.0234,-666.5117,0.359,0.3949,0.2899,0.1546
70.0,-718.7895,-673.6257,-0.8792,-0.0881,-718.4737,-673.342,-0.9134,-0.0992,-718.8339,-673.31,-0.9203,-0.0989,0.0629,-1.8,-723.1854,-665.8145,-723.4964,-665.7519,0.3617,0.4246,0.3188,0.019
70.5,-719.3631,-672.9504,-0.9147,-0.0658,-719.007,-672.6319,-0.9398,-0.0817,-719.3661,-672.5887,-0.9499,-0.078,0.0614,-1.786,-723.6505,-665.062,-723.9611,-664.9891,0.3617,0.4777,0.3617,0.2137
71.0,-719.9346,-672.2737,-0.9505,-0.0431,-719.5175,-671.9144,-0.9649,-0.0636,-719.8594,-671.8783,-0.9778,-0.0564,0.06,-1.6735,-724.1064,-664.3111,-724.4045,-664.2487,0.3437,0.5505,0.4025,0.4122
71.5,-720.4568,-671.5646,-0.994,-0.0116,-719.9888,-671.217,-0.9882,-0.0453,-720.2802,-671.2372,-1.0019,-0.036,0.0585,-1.3943,-724.5384,-663.59,-724.7949,-663.5894,0.2921,0.5829,0.3719,0.532
72.0,-720.9263,-670.9269,-1.0331,0.0167,-720.363,-670.6365,-1.0082,-0.0279,-720.5957,-670.7336,-1.0201,-0.0195,0.0568,-0.9827,-724.8908,-662.9965,-725.0962,-663.0774,0.2522,0.6337,0.3829,0.4815
72.5,-721.2635,-670.4688,-1.0612,0.037,-720.6145,-670.2306,-1.024,-0.013,-720.7919,-670.4102,-1.0313,-0.0088,0.0544,-0.5303,-725.1339,-662.5855,-725.2877,-662.7512,0.2524,0.6914,0.4753,0.2438
73.0,-721.4677,-670.1916,-1.0782,0.0493,-720.7337,-670.0329,-1.0323,-0.0049,-720.8803,-670.2617,-1.0362,-0.004,0.0513,-0.1612,-725.2514,-662.3867,-725.3752,-662.6021,0.2717,0.7509,0.5916,0.0517
73.5,-721.5387,-670.0951,-1.0841,0.0536,-720.7566,-669.9945,-1.0337,-0.0035,-720.8946,-670.2374,-1.0369,-0.0032,0.0477,0.0235,-725.2741,-662.3483,-725.3894,-662.5779,0.2794,0.7885,0.6596,0.0159
