Time,X,Y,Yaw,Hitch_Angle
0.0,0.0,0.0,-1.57,0.0
0.04,-4.77796026439958e-05,0.05999998097591008,-1.57,0.0
0.08,-9.55592052879916e-05,0.11999996195182017,-1.57,0.0
0.12,-0.0001433388079319874,0.17999994292773025,-1.57,0.0
0.16,-0.0001911184105759832,0.23999992390364033,-1.57,0.0
0.2,-0.00023889801321997901,0.2999999048795504,-1.57,0.0
0.24,-0.00028667761586397483,0.3599998858554605,-1.57,0.0
0.28,-0.00033445721850797064,0.4199998668313706,-1.57,0.0
0.32,-0.00038223682115196646,0.47999984780728067,-1.57,0.0
0.36,-0.00043001642379596227,0.5399998287831907,-1.57,0.0
0.4,-0.0004777960264399581,0.5999998097591008,-1.57,0.0
0.44,-0.0005255756290839539,0.6599997907350109,-1.57,0.0
0.48,-0.0005733552317279497,0.719999771710921,-1.57,0.0
0.52,-0.0006211348343719454,0.7799997526868311,-1.57,0.0
0.56,-0.0006689144370159412,0.8399997336627412,-1.57,0.0
0.6,-0.0007166940396599369,0.8999997146386512,-1.57,0.0
0.64,-0.0007644736423039327,0.9599996956145613,-1.57,0.0
0.68,-0.0008122532449479285,1.0199996765904715,-1.57,0.0
0.72,-0.0008600328475919242,1.0799996575663817,-1.57,0.0
0.76,-0.00090781245023592,1.139999638542292,-1.57,0.0
0.8,-0.0009555920528799157,1.199999619518202,-1.57,0.0
0.84,-0.0010033716555239115,1.2599996004941123,-1.57,0.0
0.88,-0.0010511512581679074,1.3199995814700225,-1.57,0.0
0.92,-0.0010989308608119032,1.3799995624459327,-1.57,0.0
0.96,-0.001146710463455899,1.4399995434218429,-1.57,0.0
1.0,-0.001194490066099895,1.499999524397753,-1.57,0.0
1.04,-0.0012422696687438908,1.5599995053736633,-1.57,0.0
1.08,-0.0012900492713878867,1.6199994863495735,-1.57,0.0
1.12,-0.0013378288740318826,1.6799994673254837,-1.57,0.0
1.16,-0.0013856084766758784,1.7399994483013939,-1.57,0.0
1.2,-0.0014333880793198743,1.799999429277304,-1.57,0.0
1.24,-0.0014811676819638702,1.8599994102532142,-1.57,0.0
1.28,-0.001528947284607866,1.9199993912291244,-1.57,0.0
1.32,-0.001576726887251862,1.9799993722050346,-1.57,0.0
1.36,-0.0016245064898958578,2.039999353180945,-1.57,0.0
1.4000000000000001,-0.0016722860925398536,2.099999334156855,-1.57,0.0
1.44,-0.0017200656951838495,2.159999315132765,-1.57,0.0
1.48,-0.0017678452978278454,2.2199992961086754,-1.57,0.0
1.52,-0.0018156249004718412,2.2799992770845856,-1.57,0.0
1.56,-0.0018634045031158371,2.339999258060496,-1.57,0.0
1.6,-0.001911184105759833,2.399999239036406,-1.57,0.0
1.6400000000000001,-0.001958963708403829,2.459999220012316,-1.57,0.0
1.68,-0.0020067433110478247,2.5199992009882264,-1.57,0.0
1.72,-0.0020545229136918206,2.5799991819641366,-1.57,0.0
1.76,-0.0021023025163358165,2.6399991629400468,-1.57,0.0
1.8,-0.0021500821189798123,2.699999143915957,-1.57,0.0
1.84,-0.002197861721623808,2.759999124891867,-1.57,0.0
1.8800000000000001,-0.002245641324267804,2.8199991058677774,-1.57,0.0
1.92,-0.0022934209269118,2.8799990868436876,-1.57,0.0
1.96,-0.002341200529555796,2.9399990678195977,-1.57,0.0
2.0,-0.0023889801321997917,2.999999048795508,-1.57,0.0
2.04,-0.0024367597348437875,3.059999029771418,-1.57,0.0
2.08,-0.0024845393374877834,3.1199990107473283,-1.57,0.0
2.12,-0.0025323189401317793,3.1799989917232385,-1.57,0.0
2.16,-0.002580098542775775,3.2399989726991487,-1.57,0.0
2.2,-0.002627878145419771,3.299998953675059,-1.57,0.0
2.24,-0.002675657748063767,3.359998934650969,-1.57,0.0
2.2800000000000002,-0.0027234373507077627,3.4199989156268793,-1.57,0.0
2.32,-0.0027712169533517586,3.4799988966027895,-1.57,0.0
2.36,-0.0028189965559957545,3.5399988775786997,-1.57,0.0
2.4,-0.0028667761586397503,3.59999885855461,-1.57,0.0
2.44,-0.002914555761283746,3.65999883953052,-1.57,0.0
2.48,-0.002962335363927742,3.7199988205064303,-1.57,0.0
2.52,-0.003010114966571738,3.7799988014823405,-1.57,0.0
2.56,-0.003057894569215734,3.8399987824582507,-1.57,0.0
2.6,-0.0031056741718597297,3.899998763434161,-1.57,0.0
2.64,-0.0031534537745037255,3.959998744410071,-1.57,0.0
2.68,-0.0032012333771477214,4.019998725385981,-1.57,0.0
2.72,-0.0032490129797917173,4.0799987063618905,-1.57,0.0
