arc_m,x_r_m,y_r_m,theta_r_deg,beta_deg,nose_x_m,nose_y_m,theta_a_deg,kappa_r_1pm,steer_delta_deg,gear
76.981,-673.359,-692.345,29.689,-7.255,-673.445,-692.394,22.434,-0.002982,-0.322,-1
77.981,-674.227,-692.840,29.471,-8.095,-674.314,-692.889,21.376,-0.005272,-0.570,-1
78.981,-675.099,-693.331,29.041,-9.122,-675.186,-693.379,19.919,0.000000,0.000,-1
79.981,-675.970,-693.821,28.610,-10.149,-676.058,-693.869,18.461,-0.013480,-1.456,-1
80.981,-676.848,-694.300,27.626,-11.325,-676.936,-694.347,16.301,-0.023373,-2.524,-1
81.981,-677.736,-694.759,25.684,-12.760,-677.827,-694.802,12.923,-0.000000,-0.000,-1
82.981,-678.625,-695.217,23.741,-14.196,-678.717,-695.257,9.545,-0.063440,-6.823,-1
83.978,-679.538,-695.617,21.326,-12.125,-679.631,-695.653,9.201,-0.102125,-10.902,-1
84.978,-680.490,-695.922,18.148,-4.409,-680.585,-695.954,13.739,0.000000,0.000,-1
85.978,-681.443,-696.228,14.971,3.308,-681.539,-696.254,18.278,-0.066984,-7.200,-1
86.974,-682.410,-696.468,12.335,8.304,-682.508,-696.490,20.638,-0.097148,-10.383,-1
87.974,-683.399,-696.614,10.484,9.355,-683.497,-696.633,19.839,-0.000000,-0.000,-1
88.974,-684.388,-696.760,8.634,10.407,-684.487,-696.775,19.040,-0.012222,-1.321,-1
89.974,-685.379,-696.894,7.572,11.632,-685.478,-696.908,19.204,-0.016449,-1.777,-1
90.974,-686.372,-697.012,7.572,13.090,-686.472,-697.025,20.662,0.000000,0.000,-1
91.974,-687.365,-697.130,7.572,14.549,-687.465,-697.143,22.121,0.012472,1.347,-1
92.974,-688.357,-697.259,8.377,16.254,-688.456,-697.274,24.631,0.016199,1.750,-1
93.974,-689.346,-697.405,10.228,18.279,-689.445,-697.423,28.506,0.000000,0.000,-1
94.974,-690.335,-697.551,12.078,20.304,-690.433,-697.572,32.382,0.074390,7.986,-1
95.971,-691.308,-697.770,14.530,18.293,-691.405,-697.795,32.823,0.089762,9.609,-1
96.971,-692.260,-698.075,17.707,11.414,-692.355,-698.106,29.121,0.000000,0.000,-1
97.971,-693.212,-698.381,20.885,4.534,-693.306,-698.417,25.419,0.079181,8.494,-1
98.968,-694.134,-698.760,23.472,1.004,-694.226,-698.799,24.476,0.086429,9.258,-1
99.968,-695.023,-699.218,25.414,1.130,-695.113,-699.261,26.545,-0.000000,-0.000,-1
100.968,-695.912,-699.676,27.357,1.257,-696.000,-699.722,28.614,0.018261,1.972,-1
101.967,-696.792,-700.151,28.550,1.408,-696.880,-700.198,29.958,0.018592,2.008,-1
102.967,-697.663,-700.641,28.981,1.584,-697.751,-700.690,30.565,0.000000,0.000,-1
103.967,-698.534,-701.132,29.411,1.761,-698.621,-701.181,31.172,0.004126,0.446,-1
104.967,-699.404,-701.627,29.675,1.972,-699.490,-701.676,31.647,0.004125,0.446,-1
105.967,-700.271,-702.124,29.771,2.218,-700.358,-702.174,31.990,0.000000,0.000,-1
106.967,-701.138,-702.622,29.868,2.465,-701.225,-702.672,32.333,0.000931,0.101,-1
107.967,-702.005,-703.121,29.927,2.761,-702.091,-703.171,32.688,0.000927,0.100,-1
108.967,-702.871,-703.621,29.949,3.106,-702.958,-703.671,33.055,0.000000,0.000,-1
109.967,-703.737,-704.120,29.971,3.451,-703.824,-704.170,33.422,0.000218,0.024,-1
110.967,-704.604,-704.620,29.985,3.865,-704.690,-704.670,33.849,0.000216,0.023,-1
111.967,-705.470,-705.120,29.990,4.347,-705.556,-705.170,34.338,0.000000,0.000,-1
112.967,-706.336,-705.620,29.996,4.830,-706.422,-705.670,34.826,0.000084,0.009,-1
113.967,-707.202,-706.120,30.002,5.409,-707.288,-706.170,35.410,0.000084,0.009,-1
114.967,-708.068,-706.620,30.006,6.083,-708.154,-706.670,36.090,-0.000000,-0.000,-1
115.967,-708.934,-707.120,30.011,6.758,-709.020,-707.170,36.770,0.000175,0.019,-1
116.967,-709.800,-707.620,30.022,7.567,-709.886,-707.670,37.590,0.000174,0.019,-1
117.967,-710.665,-708.120,30.040,8.509,-710.752,-708.170,38.549,-0.000000,-0.000,-1
118.967,-711.531,-708.621,30.057,9.452,-711.618,-708.671,39.509,0.000731,0.079,-1
119.967,-712.397,-709.122,30.103,10.580,-712.483,-709.172,40.684,0.000726,0.079,-1
120.967,-713.262,-709.623,30.179,11.893,-713.348,-709.674,42.072,0.000000,0.000,-1
121.967,-714.127,-710.125,30.255,13.206,-714.213,-710.175,43.461,0.003243,0.350,-1
122.967,-714.990,-710.629,30.461,14.775,-715.077,-710.680,45.236,0.003215,0.347,-1
123.967,-715.852,-711.137,30.798,16.598,-715.938,-711.188,47.395,0.000000,0.000,-1
124.967,-716.714,-711.644,31.134,18.420,-716.800,-711.696,49.554,0.014522,1.569,-1
125.967,-717.568,-712.163,32.061,20.591,-717.653,-712.217,52.652,0.014251,1.540,-1
126.967,-718.415,-712.695,33.568,23.102,-718.499,-712.750,56.670,-0.000000,-0.000,-1
127.967,-719.262,-713.227,35.075,25.614,-719.344,-713.284,60.689,0.066156,7.112,-1
128.965,-720.070,-713.812,39.021,23.665,-720.148,-713.875,62.686,0.062418,6.714,-1
129.965,-720.842,-714.448,45.268,17.508,-720.912,-714.519,62.776,0.000000,0.000,-1
130.965,-721.614,-715.084,51.514,11.351,-721.676,-715.163,62.865,0.000000,0.000,-1
131.439,-721.979,-715.385,54.472,8.435,-722.037,-715.467,62.907,0.000000,0.000,-1
